id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
AGSEMPTCMDODFS,2024-09-18,2024-09-18,Agency-and GSE-Backed Mortgage Pools; Total Mortgages; Liability (DISCONTINUED),1945-10-01,2017-10-01,"Quarterly, End of Period",Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2018-03-08 15:01:08-06:00,2,"This series has been discontinued and will no longer be updated. It was a duplicate of the following series, which will continue to be updated: https://fred.stlouisfed.org/series/AGSEBMPTCMAHDFS  The FRED series Total Credit Market Debt Owed by Domestic Financial Sectors - Agency- and GSE-backed Mortgage Pools is now known as Agency-and GSE-Backed Mortgage Pools; Total Mortgages; Liability.  The source series id is FL413065005.Q.  This series appears in Table L.208. For further information see the assistance provided in the guide to the Financial Accounts at https://www.federalreserve.gov/apps/fof/."
GSEDSA,2024-09-18,2024-09-18,"Government-Sponsored Enterprises; Debt Securities; Asset, Level",1945-10-01,2024-04-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-09-12 14:28:02-05:00,1,"Source ID: FL404022005.Q  For more information about the Flow of Funds tables, see the Financial Accounts Guide (https://www.federalreserve.gov/apps/fof/Default.aspx).  With each quarterly release, the source may make major data and structural revisions to the series and tables. These changes are available in the Release Highlights (https://www.federalreserve.gov/apps/fof/FOFHighlight.aspx).  In the Financial Accounts, the source identifies each series by a string of patterned letters and numbers. For a detailed description, including how this series is constructed, see the series analyzer (https://www.federalreserve.gov/apps/fof/SeriesAnalyzer.aspx?s=FL404022005&t=) provided by the source."
GSEIL,2024-09-18,2024-09-18,"Government-Sponsored Enterprises; GSE Issues; Liability, Level",1945-10-01,2024-04-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-09-12 14:25:33-05:00,2,"Source ID: FL403161705.Q  For more information about the Flow of Funds tables, see the Financial Accounts Guide (https://www.federalreserve.gov/apps/fof/Default.aspx).  With each quarterly release, the source may make major data and structural revisions to the series and tables. These changes are available in the Release Highlights (https://www.federalreserve.gov/apps/fof/FOFHighlight.aspx).  In the Financial Accounts, the source identifies each series by a string of patterned letters and numbers. For a detailed description, including how this series is constructed, see the series analyzer (https://www.federalreserve.gov/apps/fof/SeriesAnalyzer.aspx?s=FL403161705&t=) provided by the source."
HCDSL,2024-09-18,2024-09-18,"Holding Companies; Debt Securities; Liability, Level",1945-10-01,2024-04-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-09-12 14:28:02-05:00,1,"Source ID: FL734122005.Q  For more information about the Flow of Funds tables, see the Financial Accounts Guide (https://www.federalreserve.gov/apps/fof/Default.aspx).  With each quarterly release, the source may make major data and structural revisions to the series and tables. These changes are available in the Release Highlights (https://www.federalreserve.gov/apps/fof/FOFHighlight.aspx).  In the Financial Accounts, the source identifies each series by a string of patterned letters and numbers. For a detailed description, including how this series is constructed, see the series analyzer (https://www.federalreserve.gov/apps/fof/SeriesAnalyzer.aspx?s=FL734122005&t=) provided by the source."
HCLTDSA,2024-09-18,2024-09-18,"Holding Companies; Long-Term Debt Securities; Asset, Level",1945-10-01,2024-04-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-09-12 14:28:02-05:00,2,"Source ID: FL734022605.Q  For more information about the Flow of Funds tables, see the Financial Accounts Guide (https://www.federalreserve.gov/apps/fof/Default.aspx).  With each quarterly release, the source may make major data and structural revisions to the series and tables. These changes are available in the Release Highlights (https://www.federalreserve.gov/apps/fof/FOFHighlight.aspx).  In the Financial Accounts, the source identifies each series by a string of patterned letters and numbers. For a detailed description, including how this series is constructed, see the series analyzer (https://www.federalreserve.gov/apps/fof/SeriesAnalyzer.aspx?s=FL734022605&t=) provided by the source."
HNODSA,2024-09-18,2024-09-18,Households and Nonprofit Organizations; Debt Securities; Asset (DISCONTINUED),1945-10-01,2017-10-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2018-03-08 15:01:13-06:00,1,"This series has been discontinued and will no longer be updated. It was a duplicate of the following series, which will continue to be updated: https://fred.stlouisfed.org/series/HNODSAQ027S  The source series id is FL154022005.Q.  This series appears in Table L.208.  For further information see the assistance provided in the guide to the Financial Accounts at https://www.federalreserve.gov/apps/fof/."
IABSDSA,2024-09-18,2024-09-18,"Issuers of Asset-Backed Securities; Debt Securities; Asset, Level",1945-10-01,2024-04-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-09-12 14:28:01-05:00,1,"Source ID: FL674022005.Q  For more information about the Flow of Funds tables, see the Financial Accounts Guide (https://www.federalreserve.gov/apps/fof/Default.aspx).  With each quarterly release, the source may make major data and structural revisions to the series and tables. These changes are available in the Release Highlights (https://www.federalreserve.gov/apps/fof/FOFHighlight.aspx).  In the Financial Accounts, the source identifies each series by a string of patterned letters and numbers. For a detailed description, including how this series is constructed, see the series analyzer (https://www.federalreserve.gov/apps/fof/SeriesAnalyzer.aspx?s=FL674022005&t=) provided by the source."
IABSDSL,2024-09-18,2024-09-18,"Issuers of Asset-Backed Securities; Debt Securities; Liability, Level",1945-10-01,2024-04-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-09-12 14:28:01-05:00,1,"Source ID: FL674122005.Q  For more information about the Flow of Funds tables, see the Financial Accounts Guide (https://www.federalreserve.gov/apps/fof/Default.aspx).  With each quarterly release, the source may make major data and structural revisions to the series and tables. These changes are available in the Release Highlights (https://www.federalreserve.gov/apps/fof/FOFHighlight.aspx).  In the Financial Accounts, the source identifies each series by a string of patterned letters and numbers. For a detailed description, including how this series is constructed, see the series analyzer (https://www.federalreserve.gov/apps/fof/SeriesAnalyzer.aspx?s=FL674122005&t=) provided by the source."
LICDSA,2024-09-18,2024-09-18,"Life Insurance Companies; Debt Securities; Asset, Level",1945-10-01,2024-04-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-09-12 14:25:33-05:00,1,"Source ID: FL544022005.Q  For more information about the Flow of Funds tables, see the Financial Accounts Guide (https://www.federalreserve.gov/apps/fof/Default.aspx).  With each quarterly release, the source may make major data and structural revisions to the series and tables. These changes are available in the Release Highlights (https://www.federalreserve.gov/apps/fof/FOFHighlight.aspx).  In the Financial Accounts, the source identifies each series by a string of patterned letters and numbers. For a detailed description, including how this series is constructed, see the series analyzer (https://www.federalreserve.gov/apps/fof/SeriesAnalyzer.aspx?s=FL544022005&t=) provided by the source."
MADSA,2024-09-18,2024-09-18,"Monetary Authority; Debt Securities; Asset, Level",1945-10-01,2024-04-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-09-12 14:28:00-05:00,1,"Source ID: FL714022005.Q  For more information about the Flow of Funds tables, see the Financial Accounts Guide (https://www.federalreserve.gov/apps/fof/Default.aspx).  With each quarterly release, the source may make major data and structural revisions to the series and tables. These changes are available in the Release Highlights (https://www.federalreserve.gov/apps/fof/FOFHighlight.aspx).  In the Financial Accounts, the source identifies each series by a string of patterned letters and numbers. For a detailed description, including how this series is constructed, see the series analyzer (https://www.federalreserve.gov/apps/fof/SeriesAnalyzer.aspx?s=FL714022005&t=) provided by the source."
MFDSA,2024-09-18,2024-09-18,"Mutual Funds; Debt Securities; Asset (Market Value), Level",1945-10-01,2024-04-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-09-12 14:25:16-05:00,3,"Source ID: FL654022005.Q  For more information about the Flow of Funds tables, see the Financial Accounts Guide (https://www.federalreserve.gov/apps/fof/Default.aspx).  With each quarterly release, the source may make major data and structural revisions to the series and tables. These changes are available in the Release Highlights (https://www.federalreserve.gov/apps/fof/FOFHighlight.aspx).  In the Financial Accounts, the source identifies each series by a string of patterned letters and numbers. For a detailed description, including how this series is constructed, see the series analyzer (https://www.federalreserve.gov/apps/fof/SeriesAnalyzer.aspx?s=FL654022005&t=) provided by the source."
MMMFDSA,2024-09-18,2024-09-18,"Money Market Funds; Debt Securities; Asset, Level",1945-10-01,2024-04-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-09-12 14:25:16-05:00,6,"Source ID: FL634022005.Q  For more information about the Flow of Funds tables, see the Financial Accounts Guide (https://www.federalreserve.gov/apps/fof/Default.aspx).  With each quarterly release, the source may make major data and structural revisions to the series and tables. These changes are available in the Release Highlights (https://www.federalreserve.gov/apps/fof/FOFHighlight.aspx).  In the Financial Accounts, the source identifies each series by a string of patterned letters and numbers. For a detailed description, including how this series is constructed, see the series analyzer (https://www.federalreserve.gov/apps/fof/SeriesAnalyzer.aspx?s=FL634022005&t=) provided by the source."
NCBDSA,2024-09-18,2024-09-18,Nonfinancial Corporate Business; Debt Securities; Asset (DISCONTINUED),1945-10-01,2017-10-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2018-03-08 15:01:12-06:00,1,"This series has been discontinued and will no longer be updated. It was a duplicate of the following series, which will continue to be updated: https://fred.stlouisfed.org/series/NCBDSTQ027S  The source series id is FL104022005.Q.  This series appears in Table L.208.  For further information see the assistance provided in the guide to the Financial Accounts at https://www.federalreserve.gov/apps/fof/."
NCBDSL,2024-09-18,2024-09-18,Nonfinancial Corporate Business; Debt Securities; Liability (DISCONTINUED),1945-10-01,2017-10-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2018-03-08 15:01:05-06:00,1,"This series has been discontinued and will no longer be updated. It was a duplicate of the following series, which will continue to be updated: https://fred.stlouisfed.org/series/NCBDBIQ027S  The source series id is FL104122005.Q.  This series appears in Table L.208.  For further information see the assistance provided in the guide to the Financial Accounts at https://www.federalreserve.gov/apps/fof/."
NNBDSA,2024-09-18,2024-09-18,Nonfinancial Noncorporate Business; Debt Securities; Asset (DISCONTINUED),1945-10-01,2017-10-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2018-03-08 15:01:46-06:00,1,"This series has been discontinued and will no longer be updated. It was a duplicate of the following series, which will continue to be updated: https://fred.stlouisfed.org/series/NNBDSTQ027S  The source series id is FL114022005.Q.  This series appears in Table L.208.  For further information see the assistance provided in the guide to the Financial Accounts at https://www.federalreserve.gov/apps/fof/."
