series_id,check_timestamp,data_available,response_time_ms,record_count,last_period,error_message
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CAISSE_CONGES.levels.Q,2025-07-13T17:38:59.469820,1,346,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CB.levels.Q,2025-07-13T17:38:59.509170,1,336,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CC.levels.Q,2025-07-13T17:38:59.617290,1,374,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CD.levels.Q,2025-07-13T17:38:59.667330,1,373,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CE.levels.Q,2025-07-13T17:38:59.696159,1,366,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CF.levels.Q,2025-07-13T17:38:59.752422,1,358,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CG.levels.Q,2025-07-13T17:38:59.824496,1,388,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CH.levels.Q,2025-07-13T17:38:59.920685,1,412,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CI.levels.Q,2025-07-13T17:38:59.952781,1,402,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CK.levels.Q,2025-07-13T17:38:59.982911,1,377,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CJ.levels.Q,2025-07-13T17:38:59.998185,1,421,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CM.levels.Q,2025-07-13T17:39:00.052981,1,384,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CL.levels.Q,2025-07-13T17:39:00.045213,1,407,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CONC_INSEE.levels.Q,2025-07-13T17:39:00.104487,1,397,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.DZ.levels.Q,2025-07-13T17:39:00.111077,1,380,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.EZ.levels.Q,2025-07-13T17:39:00.188733,1,402,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.FZ.levels.Q,2025-07-13T17:39:00.254434,1,399,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.GZ.levels.Q,2025-07-13T17:39:00.337406,1,385,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.HZ.levels.Q,2025-07-13T17:39:00.357581,1,374,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.INTERIM.levels.Q,2025-07-13T17:39:00.422079,1,375,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.IZ.levels.Q,2025-07-13T17:39:00.459770,1,376,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.INDUSTRIE.levels.Q,2025-07-13T17:39:00.397910,1,382,108,,
