series_id,dimension_key,dimension_value,scraped_at
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.INTERIM.levels.Q,freq,Q,2025-07-13T17:38:57.983142
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.INTERIM.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.983279
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.INTERIM.levels.Q,measurement,levels,2025-07-13T17:38:57.983286
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.INTERIM.levels.Q,sector,INTERIM,2025-07-13T17:38:57.983290
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.IZ.levels.Q,freq,Q,2025-07-13T17:38:58.011778
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.IZ.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:58.011888
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.IZ.levels.Q,measurement,levels,2025-07-13T17:38:58.011906
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.IZ.levels.Q,sector,IZ,2025-07-13T17:38:58.011912
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JB.levels.Q,freq,Q,2025-07-13T17:38:58.043677
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JB.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:58.043742
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JB.levels.Q,measurement,levels,2025-07-13T17:38:58.043749
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JB.levels.Q,sector,JB,2025-07-13T17:38:58.043753
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JA.levels.Q,freq,Q,2025-07-13T17:38:58.074956
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JA.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:58.075091
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JA.levels.Q,measurement,levels,2025-07-13T17:38:58.075147
